repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
visit,Issue_382,464,0,39,9,3,0,0.0,0.0,,0.7887931034482759,1.0963324910820453,0.03313074091235611
visit,Issue_381,1952,0,1470,45,37,1,0.24444444444444444,0.3401639344262295,documentation_debt,0.0430327868852459,0.9731632961569467,0.10595167604243523
visit,Issue_377,3420,0,2668,41,34,1,0.07317073170731707,0.10029239766081871,code/design_debt,-0.08947368421052632,1.073474089588542,0.051886137153713055
visit,Issue_367,567,0,35,11,3,1,0.09090909090909091,0.03350970017636684,requirement_debt,0.48500881834215165,0.794316446285876,0.10892539160136032
visit,Issue_361,752,0,416,22,14,1,0.045454545454545456,0.047872340425531915,documentation_debt,0.5425531914893617,0.7024877566978066,0.08914112404776851
visit,Issue_350,1500,0,851,41,33,1,0.04878048780487805,0.13266666666666665,scientific_debt,0.6093333333333333,1.0443277615176154,0.0705266550015009
visit,Issue_346,4364,0,579,24,16,1,0.08333333333333333,0.24541704857928506,requirement_debt,0.9330889092575618,0.47102154869312374,0.09011644383883258
visit,Issue_344,1345,0,862,25,17,1,0.04,0.007434944237918215,test_debt,0.4661710037174721,0.6579102002459891,0.08790772620613382
legion,Issue_325,333,0,214,11,5,1,0.09090909090909091,0.03003003003003003,documentation_debt,0.93993993993994,0.34540355261075983,0.013824297259671157
visit,Issue_323,774,0,393,19,13,1,0.10526315789473684,0.20284237726098192,documentation_debt,0.7131782945736435,0.6828378861341201,0.0826310505103946
legion,Issue_318,500,0,203,12,6,1,0.08333333333333333,0.078,code/design_debt,0.82,0.5790666666666665,0.024155506342455006
visit,Issue_310,1070,0,586,19,13,1,0.10526315789473684,0.15981308411214953,code/design_debt,-0.029906542056074768,1.0103385724333545,0.10387656654327473
